City,2011,2012,2013,2014,2015,2016,2017,2018
Guangzhou,1275.14,1283.89,1292.68,1308.05,1350.11,1404.35,1449.84,1490.44
Shenzhen,1046.74,1054.74,1062.89,1077.89,1137.87,1190.84,1252.83,1302.66
Dongguan,825.48,829.23,831.66,834.31,825.41,826.14,834.25,839.22
Foshan,723.1,726.18,729.57,735.06,743.06,746.27,765.67,790.57
Hongkong,711,717.1,721.1,725.3,731,737.8,714.5,748.8
Huizhou,463.36,467.4,470,472.66,475.55,477.5,477.7,483
Jiangmen,446.55,448.27,449.76,451.14,451.95,454.4,456.17,459.82
Zhaoqing,395.14,398.23,402.21,403.58,405.96,408.46,411.54,415.17
Zhongshan,314.23,315.5,317.39,319.27,320.96,323,326,331
Zhuhai,156.76,158.26,159.03,161.42,163.41,167.53,176.54,189.11
Macau,0.557,0.582,0.608,0.636,0.647,0.645,0.653,0.667
